permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/tv-communications,&TV Communications,http://enjoyandtv.com,|Games|, Games ,4000000.00,operating,USA,CA,Los Angeles,Los Angeles,2,,,,,6/4/10 0:00,9/23/10 0:00
/organization/24-7-card,24/7 Card,http://www.247card.com,|Finance|, Finance ,3452941.00,closed,USA,CA,Los Angeles,Los Angeles,3,,,,,10/25/10 0:00,12/21/11 0:00
/organization/5k-fans,5k Fans,,|Software|, Software ,8000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,6/10/09 0:00,6/10/09 0:00
/organization/8218-west-third,8218 West Third,,,,400000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,2/20/06 0:00,2/20/06 0:00
/organization/accelerize-new-media,Accelerize New Media,http://www.accelerizenewmedia.com,|Enterprise Software|, Enterprise Software ,4045500.00,,USA,CA,Los Angeles,Los Angeles,3,1/1/05 0:00,2005-01,2005-Q1,2005,5/10/10 0:00,4/16/14 0:00
/organization/access-sports-media-2,AccessSportsMedia.com,http://accesssportsmedia.com,|Distribution|Sales and Marketing|Advertising|, Sales and Marketing ,20000000.00,operating,USA,CA,Los Angeles,Los Angeles,2,1/1/03 0:00,2003-01,2003-Q1,2003,10/29/08 0:00,1/5/11 0:00
/organization/activereplay,ActiveReplay,http://www.alpinereplay.com,|Sports|, Sports ,2100000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,3/3/14 0:00,3/3/14 0:00
/organization/ad-hoc-labs-2,Ad Hoc Labs,http://burnerapp.com,|Mobile|, Mobile ,2000000.00,operating,USA,CA,Los Angeles,Los Angeles,2,8/1/12 0:00,2012-08,2012-Q3,2012,10/18/12 0:00,10/21/13 0:00
/organization/adhoclabs,adhoclabs,http://adhoclabs.co,|Mobile|, Mobile ,2000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/12 0:00,2012-01,2012-Q1,2012,9/26/13 0:00,9/26/13 0:00
/organization/admi-holdings,ADMI Holdings,,,,367645000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/10 0:00,2010-01,2010-Q1,2010,10/20/10 0:00,10/20/10 0:00
/organization/airpush,Airpush,http://www.airpush.com,|Advertising|, Advertising ,400000.00,,USA,CA,Los Angeles,Los Angeles,1,12/1/10 0:00,2010-12,2010-Q4,2010,1/3/11 0:00,1/3/11 0:00
/organization/albumatic-2,Albumatic,http://albumatic.com/,|Photo Sharing|, Photo Sharing ,4200000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/13 0:00,2013-01,2013-Q1,2013,8/1/13 0:00,8/1/13 0:00
/organization/alkilu-enterprises,ALKILU Enterprises,http://www.alkilu.com,|Environmental Innovation|Identity|Outdoors|Consumers|Consumer Goods|Hardware + Software|, Consumer Goods ,250000.00,operating,USA,CA,Los Angeles,Los Angeles,1,6/1/13 0:00,2013-06,2013-Q2,2013,6/1/13 0:00,6/1/13 0:00
/organization/all-def-digital,All Def Digital,http://alldefdigital.com,|Media|, Media ,5000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,8/6/14 0:00,8/6/14 0:00
/organization/alphaboost,AlphaBoost,http://alphaboost.com,|Social Media|Advertising|, Advertising ,1000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,11/11/11 0:00,2011-11,2011-Q4,2011,5/21/12 0:00,5/21/12 0:00
/organization/american-apperal,American Apparel,http://americanapparel.net,,,25000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/98 0:00,1998-01,1998-Q1,1998,7/9/14 0:00,7/9/14 0:00
/organization/apliiq,Apliiq,http://www.apliiq.com/,|Design|, Design ,270000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/09 0:00,2009-01,2009-Q1,2009,3/25/14 0:00,3/25/14 0:00
/organization/aquahydrate,AquaHydrate,http://aquahydrate.com,|Hospitality|, Hospitality ,10000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,3/1/11 0:00,3/1/11 0:00
/organization/arizona-tamale-factory,Arizona Tamale Factory,http://www.ArizonaTamaleFactory.com,|Manufacturing|, Manufacturing ,10000.00,operating,USA,CA,Los Angeles,Los Angeles,1,10/31/10 0:00,2010-10,2010-Q4,2010,10/5/13 0:00,10/5/13 0:00
/organization/aroundwire,AroundWire,http://www.aroundwire.com,|Startups|Social Media|Social Commerce|E-Commerce|, Social Commerce ,2500000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/10 0:00,2010-01,2010-Q1,2010,10/29/13 0:00,10/29/13 0:00
/organization/audiocatch,AudioCatch,http://www.audiocatch.com,|None|, None ,40000.00,operating,USA,CA,Los Angeles,Los Angeles,1,10/1/10 0:00,2010-10,2010-Q4,2010,8/4/11 0:00,8/4/11 0:00
/organization/authenticlick,Authenticlick,http://www.authenticlick.net,|Optimization|Analytics|, Analytics ,5000000.00,closed,USA,CA,Los Angeles,Los Angeles,1,8/5/05 0:00,2005-08,2005-Q3,2005,2/1/06 0:00,2/1/06 0:00
/organization/awesomeness-tv,AwesomenessTV,http://www.youtube.com/awesomenesstv,|Games|, Games ,3500000.00,acquired,USA,CA,Los Angeles,Los Angeles,1,6/21/12 0:00,2012-06,2012-Q2,2012,8/7/12 0:00,8/7/12 0:00
/organization/babyfirsttv,BabyFirstTV,http://www.babyfirsttv.com,|Games|, Games ,2000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/04 0:00,2004-01,2004-Q1,2004,1/11/13 0:00,1/11/13 0:00
/organization/backdoor,Backchat,http://getbackchat.com,|Messaging|Social Media|, Social Media ,200000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/23/13 0:00,2013-01,2013-Q1,2013,11/11/13 0:00,11/11/13 0:00
/organization/backdoor-2,Backdoor,,|Chat|, Chat ,200000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/13 0:00,2013-01,2013-Q1,2013,11/11/13 0:00,11/11/13 0:00
/organization/badabroad,BadAbroad,,|Travel|, Travel ,20000.00,operating,USA,CA,Los Angeles,Los Angeles,1,8/1/12 0:00,2012-08,2012-Q3,2012,10/13/12 0:00,10/13/12 0:00
/organization/be-great-partners,Be Great Partners,http://www.begreat.co/,|Venture Capital|Incubators|Startups|Finance|, Startups ,6000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,2/15/12 0:00,2012-02,2012-Q1,2012,7/2/13 0:00,7/2/13 0:00
/organization/beacon-holding,Beacon Holding,,,,674598700.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,9/30/11 0:00,9/30/11 0:00
/organization/beautyticket-com,BeautyTicket.com,http://beautyticket.com,|Curated Web|, Curated Web ,450000.00,closed,USA,CA,Los Angeles,Los Angeles,1,1/1/09 0:00,2009-01,2009-Q1,2009,6/28/11 0:00,6/28/11 0:00
/organization/beckersmith-medical,BeckerSmith Medical,http://www.beckersmithmedical.com/,|Medical Devices|, Medical Devices ,150000.00,operating,USA,CA,Los Angeles,Los Angeles,2,1/1/09 0:00,2009-01,2009-Q1,2009,3/3/10 0:00,3/4/12 0:00
/organization/where-my-dogs-at,BetterPet,http://www.betterpet.co/,|Social Media|, Social Media ,106000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/12 0:00,2012-01,2012-Q1,2012,1/26/14 0:00,1/26/14 0:00
/organization/bevvy-com,Bevvy,http://www.bevvy.com,|Coupons|Nightclubs|Hospitality|Group Buying|E-Commerce|, Coupons ,100000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/8/11 0:00,2011-01,2011-Q1,2011,5/20/11 0:00,5/20/11 0:00
/organization/biosig-technologies,BioSig Technologies,,|Biotechnology|, Biotechnology ,1559785.00,operating,USA,CA,Los Angeles,Los Angeles,3,1/1/09 0:00,2009-01,2009-Q1,2009,2/10/14 0:00,8/22/14 0:00
/organization/bloomnation,BloomNation,http://www.bloomnation.com,|Flowers|E-Commerce|, E-Commerce ,1650000.00,operating,USA,CA,Los Angeles,Los Angeles,1,3/22/10 0:00,2010-03,2010-Q1,2010,10/24/13 0:00,10/24/13 0:00
/organization/blue-lava-group,Blue Lava Group,,|E-Commerce|, E-Commerce ,2000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/05 0:00,2005-01,2005-Q1,2005,8/1/05 0:00,8/1/05 0:00
/organization/boingo-wireless,Boingo Wireless,http://www.boingo.com,|Telecommunications|Software|, Telecommunications ,65000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/01 0:00,2001-01,2001-Q1,2001,8/16/06 0:00,8/16/06 0:00
/organization/boom-entertainment,BOOM! Entertainment,http://boom-studios.com,|None|, None ,2184267.00,operating,USA,CA,Los Angeles,Los Angeles,2,1/1/05 0:00,2005-01,2005-Q1,2005,2/21/08 0:00,6/16/09 0:00
/organization/boomdizzle-networks,Boomdizzle Networks,http://www.boomdizzle.com,|Collaboration|Technology|Music|Curated Web|, Technology ,300000.00,operating,USA,CA,Los Angeles,Los Angeles,1,9/1/08 0:00,2008-09,2008-Q3,2008,4/1/08 0:00,4/1/08 0:00
/organization/border-stylo,Border Stylo,http://borderstylo.com,|Software|, Software ,27520000.00,operating,USA,CA,Los Angeles,Los Angeles,3,1/1/08 0:00,2008-01,2008-Q1,2008,4/7/10 0:00,8/11/11 0:00
/organization/box-jump,Box Jump,http://www.theboxjump.com/,|Entertainment|, Entertainment ,1000.00,operating,USA,CA,Los Angeles,Los Angeles,1,6/13/13 0:00,2013-06,2013-Q2,2013,11/4/13 0:00,11/4/13 0:00
/organization/break-media,Break Media,http://www.breakmedia.com,|Entertainment|Mens Specific|Internet|Video|Sales and Marketing|Advertising|Games|, Internet ,21400000.00,operating,USA,CA,Los Angeles,Los Angeles,2,1/1/98 0:00,1998-01,1998-Q1,1998,3/1/06 0:00,7/1/07 0:00
/organization/breitbart-news-network,Breitbart News Network,http://www.breitbart.com,|News|, News ,10000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/07 0:00,2007-01,2007-Q1,2007,9/26/11 0:00,9/26/11 0:00
/organization/bruin-biometrics,Bruin Biometrics,http://bruinbiometrics.com,|Hardware + Software|, Hardware + Software ,10000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/09 0:00,2009-01,2009-Q1,2009,2/26/14 0:00,2/26/14 0:00
/organization/building-blocks-cre,Building Blocks CRE,http://www.blockscre.com,|Real Estate|, Real Estate ,130000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,7/15/13 0:00,7/15/13 0:00
/organization/buzz-media-2,Buzz Media,,,,72000000.00,operating,USA,CA,Los Angeles,Los Angeles,5,,,,,12/30/06 0:00,7/18/11 0:00
/organization/callyourprice,CallYourPrice,http://callyourprice.com/,|Big Data Analytics|E-Commerce|Mobile|, Mobile ,50000.00,,USA,CA,Los Angeles,Los Angeles,1,,,,,2/1/14 0:00,2/1/14 0:00
/organization/capricor,Capricor,http://www.capricor.com,|Biotechnology|, Biotechnology ,37889973.00,operating,USA,CA,Los Angeles,Los Angeles,5,1/1/05 0:00,2005-01,2005-Q1,2005,12/31/09 0:00,12/5/13 0:00
/organization/catasys,CATASYS,http://catasyshealth.com,|Biotechnology|, Biotechnology ,11980000.00,operating,USA,CA,Los Angeles,Los Angeles,9,1/1/09 0:00,2009-01,2009-Q1,2009,7/18/11 0:00,6/13/14 0:00
/organization/catch-media,Catch Media,http://catchmedia.com,|Curated Web|, Curated Web ,3500000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/03 0:00,2003-01,2003-Q1,2003,2/24/11 0:00,2/24/11 0:00
/organization/cbc-broadband-holdings,CBC Broadband Holdings,,,,4900000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,4/13/09 0:00,4/13/09 0:00
/organization/chenal-media,Chenal Media,http://www.chenalmedia.com,|News|, News ,7000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/10 0:00,2010-01,2010-Q1,2010,8/24/12 0:00,8/24/12 0:00
/organization/chewse,Chewse,http://www.chewse.com,|Hospitality|, Hospitality ,1000000.00,operating,USA,CA,Los Angeles,Los Angeles,2,7/1/11 0:00,2011-07,2011-Q3,2011,7/31/12 0:00,4/1/13 0:00
/organization/chideo,Chideo,http://www.chideo.com,|Mobile|Social Media|Social Search|Charity|Video|Photography|, Social Search ,9100000.00,operating,USA,CA,Los Angeles,Los Angeles,1,8/1/13 0:00,2013-08,2013-Q3,2013,4/22/14 0:00,4/22/14 0:00
/organization/chill-2,Chill.com,http://chill.com,|Games|, Games ,1500000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/10 0:00,2010-01,2010-Q1,2010,9/7/11 0:00,9/7/11 0:00
/organization/chippmunk,Chippmunk,http://www.chippmunk.com,|Incentives|Technology|Blogging Platforms|Finance|Algorithms|Coupons|SEO|Shopping|E-Commerce|, Incentives ,750000.00,operating,USA,CA,Los Angeles,Los Angeles,1,9/19/13 0:00,2013-09,2013-Q3,2013,12/11/13 0:00,12/11/13 0:00
/organization/chrome-river-technologies,Chrome River Technologies,http://www.chromeriver.com,|SaaS|Software|, Software ,20000000.00,operating,USA,CA,Los Angeles,Los Angeles,2,1/1/07 0:00,2007-01,2007-Q1,2007,5/1/12 0:00,1/14/14 0:00
/organization/citizennet,CitizenNet,http://www.citizennet.com,|Advertising|, Advertising ,799996.00,operating,USA,CA,Los Angeles,Los Angeles,3,1/1/08 0:00,2008-01,2008-Q1,2008,7/8/09 0:00,2/8/10 0:00
/organization/citysourced,CitySourced,http://www.citysourced.com,|Mobile|, Mobile ,1395000.00,operating,USA,CA,Los Angeles,Los Angeles,2,7/1/09 0:00,2009-07,2009-Q3,2009,5/1/09 0:00,12/19/11 0:00
/organization/clicker,Clicker,http://www.clicker.com,|Jewelry|Guides|Entertainment|Television|Video|Games|, Video ,19000000.00,acquired,USA,CA,Los Angeles,Los Angeles,2,1/1/09 0:00,2009-01,2009-Q1,2009,9/15/09 0:00,2/18/10 0:00
/organization/xtreme-innovations,Cloud.CM,http://cdn.cloud.cm/index_main.html,|Curated Web|, Curated Web ,500000.00,closed,USA,CA,Los Angeles,Los Angeles,1,3/31/09 0:00,2009-03,2009-Q1,2009,1/1/11 0:00,1/1/11 0:00
/organization/cloudaccess,CloudAccess,http://www.cloudaccess.com,|Enterprise Software|, Enterprise Software ,650000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/11 0:00,2011-01,2011-Q1,2011,10/22/12 0:00,10/22/12 0:00
/organization/cocodot,Cocodot,http://twitter.com/lobstervine/status/281508177655238656,|Curated Web|, Curated Web ,6659995.00,closed,USA,CA,Los Angeles,Los Angeles,3,,,,,1/15/09 0:00,8/9/11 0:00
/organization/coda-automotive,Coda Automotive,http://www.codaautomotive.com,|Clean Technology|, Clean Technology ,229000000.00,operating,USA,CA,Los Angeles,Los Angeles,5,1/1/09 0:00,2009-01,2009-Q1,2009,7/28/09 0:00,9/20/11 0:00
/organization/collegetonight,College Tonight,http://www.collegetonightinc.com,|Universities|Colleges|Networking|Mobile|, Networking ,2244500.00,closed,USA,CA,Los Angeles,Los Angeles,2,,,,,7/1/07 0:00,7/1/08 0:00
/organization/compumed,CompuMed,http://compumed.ning.com,,,120000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,4/7/10 0:00,4/7/10 0:00
/organization/coppertino,Coppertino,http://coppertino.com,|Music|Consumer Electronics|Mac|Software|, Software ,900000.00,operating,USA,CA,Los Angeles,Los Angeles,2,6/10/11 0:00,2011-06,2011-Q2,2011,8/26/13 0:00,4/17/14 0:00
/organization/coreobjects-software,CoreObjects Software,http://www.coreobjects.com,,,2000000.00,acquired,USA,CA,Los Angeles,Los Angeles,1,1/1/97 0:00,1997-01,1997-Q1,1997,7/1/09 0:00,7/1/09 0:00
/organization/creditping-com,CreditPing.com,http://www.creditping.com,|Startups|Credit Cards|Credit|Lead Generation|Curated Web|, Credit ,580000.00,operating,USA,CA,Los Angeles,Los Angeles,1,10/1/09 0:00,2009-10,2009-Q4,2009,9/1/09 0:00,9/1/09 0:00
/organization/crowdfunder,Crowdfunder,http://www.crowdfunder.com,|Venture Capital|Small and Medium Businesses|Startups|Crowdfunding|Finance|, Finance ,2500000.00,operating,USA,CA,Los Angeles,Los Angeles,3,12/5/11 0:00,2011-12,2011-Q4,2011,5/24/12 0:00,6/1/14 0:00
/organization/crowdsourcing-org,Crowdsourcing.org,http://crowdsourcing.org,|Social Media|Internet|Crowdfunding|Crowdsourcing|Finance|, Finance ,250000.00,operating,USA,CA,Los Angeles,Los Angeles,1,10/1/10 0:00,2010-10,2010-Q4,2010,7/1/13 0:00,7/1/13 0:00
/organization/crownpeak,CrownPeak,http://www.crownpeak.com,|Software|, Software ,12000000.00,operating,USA,CA,Los Angeles,Los Angeles,3,1/19/01 0:00,2001-01,2001-Q1,2001,3/29/06 0:00,9/22/10 0:00
/organization/crunchbutton,Crunchbutton,http://crunchbutton.com,|E-Commerce|, E-Commerce ,430000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/12 0:00,2012-01,2012-Q1,2012,4/1/13 0:00,4/1/13 0:00
/organization/cubicl,Cubicl,http://Cubicl.com,|Software|Web Tools|Mobile|iPhone|Blogging Platforms|MicroBlogging|File Sharing|Storage|Networking|Curated Web|, iPhone ,130000.00,closed,USA,CA,Los Angeles,Los Angeles,2,5/1/09 0:00,2009-05,2009-Q2,2009,7/1/09 0:00,3/1/10 0:00
/organization/culture-jam,Culture Jam,http://site.promojam.com,|Mobile|Analytics|Social Media Marketing|Software|, Mobile ,1700000.00,operating,USA,CA,Los Angeles,Los Angeles,2,7/1/08 0:00,2008-07,2008-Q3,2008,7/1/08 0:00,5/1/12 0:00
/organization/curacao,Curacao,http://icuracao.com,|E-Commerce|, E-Commerce ,15000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/78 0:00,1978-01,1978-Q1,1978,8/18/11 0:00,8/18/11 0:00
/organization/cuturia,Cuturia,http://www.cuturia.com,|Mobile|Fashion|, Mobile ,200000.00,closed,USA,CA,Los Angeles,Los Angeles,1,4/1/12 0:00,2012-04,2012-Q2,2012,3/1/12 0:00,3/1/12 0:00
/organization/cyber-interns,Cyber Interns,http://CyberInterns.com,|Media|Social Media|Freelancers|Consumer Electronics|Virtualization|Career Management|Curated Web|, Media ,50000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/31/11 0:00,2011-01,2011-Q1,2011,2/15/11 0:00,2/15/11 0:00
/organization/cyberdefender,CyberDefender,http://www.cyberdefendercorp.com,|IT and Cybersecurity|Security|, IT and Cybersecurity ,13210580.00,,USA,CA,Los Angeles,Los Angeles,7,1/1/03 0:00,2003-01,2003-Q1,2003,5/29/09 0:00,9/1/11 0:00
/organization/cytrx-corporation,CytRx,http://www.cytrx.com,,,86000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,2/5/14 0:00,2/5/14 0:00